algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration,date
mealy/dynamicTTT,/Nordsec16/server_097c.dot,24,10,1,381,273,1066,2003-09-30 12:08:23
mealy/TTT,/Nordsec16/server_097c.dot,24,10,10,326,273,1077,2003-09-30 12:08:23
mealy/dynamicTTT,/Nordsec16/server_097e.dot,24,10,1,337,390,1125,2004-10-25 11:24:39
mealy/TTT,/Nordsec16/server_097e.dot,24,10,10,326,390,1318,2004-10-25 11:24:39
mealy/dynamicTTT,/Nordsec16/server_098l.dot,20,10,1,323,1837,681,2009-11-05 16:08:52
mealy/TTT,/Nordsec16/server_098l.dot,20,10,6,233,1837,641,2009-11-05 16:08:52
mealy/dynamicTTT,/Nordsec16/server_098m.dot,19,10,2,279,112,718,2010-02-25 17:18:23
mealy/TTT,/Nordsec16/server_098m.dot,19,10,7,228,112,793,2010-02-25 17:18:23
mealy/dynamicTTT,/Nordsec16/server_098s.dot,19,10,1,256,678,638,2012-01-04 19:23:07
mealy/TTT,/Nordsec16/server_098s.dot,19,10,6,223,678,742,2012-01-04 19:23:07
mealy/dynamicTTT,/Nordsec16/server_098u.dot,22,10,5,309,67,1154,2012-03-12 15:25:53
mealy/TTT,/Nordsec16/server_098u.dot,22,10,10,287,67,1017,2012-03-12 15:25:53
mealy/dynamicTTT,/Nordsec16/server_098za.dot,17,10,1,301,814,659,2014-06-05 10:38:57
mealy/TTT,/Nordsec16/server_098za.dot,17,10,8,209,814,711,2014-06-05 10:38:57
mealy/dynamicTTT,/Nordsec16/server_100.dot,19,10,1,250,31,717,2010-03-29 13:11:54
mealy/TTT,/Nordsec16/server_100.dot,19,10,7,228,31,778,2010-03-29 13:11:54
mealy/dynamicTTT,/Nordsec16/server_101.dot,26,10,6,375,716,893,2012-03-14 12:39:00
mealy/TTT,/Nordsec16/server_101.dot,26,10,12,353,716,507,2012-03-14 12:39:00
mealy/dynamicTTT,/Nordsec16/server_101k.dot,15,10,1,346,1030,195,2015-01-08 14:03:40
mealy/TTT,/Nordsec16/server_101k.dot,15,10,8,189,1030,282,2015-01-08 14:03:40
mealy/dynamicTTT,/Nordsec16/server_102.dot,13,10,1,178,14,173,2015-01-22 16:12:26
mealy/TTT,/Nordsec16/server_102.dot,13,10,6,153,14,344,2015-01-22 16:12:26
mealy/dynamicTTT,/Nordsec16/server_110pre1.dot,12,10,2,177,321,557,2015-12-10 14:23:10
mealy/TTT,/Nordsec16/server_110pre1.dot,12,10,6,149,321,330,2015-12-10 14:23:10
